Model,Strategy,Accuracy,Kappa,F1,Recall,Precision
NB,Weighted,0.951235517568851,0.934927063769863,0.944867668279433,0.933333333333333,0.962884920634921
NB,SMOTE,0.946371998371998,0.928865240516541,0.934986808398573,0.925703703703704,0.965516113516114
NN,Weighted,0.845819563152897,0.797455514682772,0.827076261772856,0.828,0.843767195767196
NN,SMOTE,0.890077872744539,0.85556546642083,0.886288159839243,0.88784126984127,0.887560365560366
RF,Weighted,0.987164292497626,0.982868792876289,0.985619283250862,0.984190476190476,0.991703703703704
RF,SMOTE,0.987171889838557,0.982900093481405,0.986911521227311,0.984444444444444,0.992
SVM,Weighted,0.925880341880342,0.901624363330442,0.904598661429157,0.899566137566138,0.933762626262626
SVM,SMOTE,0.861777777777778,0.812572676421092,0.831824477354057,0.781957671957672,0.898458162208162
XGB,Weighted,0.989838556505223,0.986489397062131,0.990046226677806,0.988,0.994
XGB,SMOTE,0.984600189933523,0.979626641262797,0.98374478680361,0.984296296296296,0.986111111111111
