"Prediction","Reference","Freq"
"ependymoma","ependymoma",7
"glioblastoma","ependymoma",1
"medulloblastoma","ependymoma",0
"normal","ependymoma",0
"pilocytic_astrocytoma","ependymoma",0
"ependymoma","glioblastoma",1
"glioblastoma","glioblastoma",3
"medulloblastoma","glioblastoma",0
"normal","glioblastoma",0
"pilocytic_astrocytoma","glioblastoma",0
"ependymoma","medulloblastoma",0
"glioblastoma","medulloblastoma",1
"medulloblastoma","medulloblastoma",6
"normal","medulloblastoma",0
"pilocytic_astrocytoma","medulloblastoma",0
"ependymoma","normal",0
"glioblastoma","normal",0
"medulloblastoma","normal",0
"normal","normal",2
"pilocytic_astrocytoma","normal",0
"ependymoma","pilocytic_astrocytoma",0
"glioblastoma","pilocytic_astrocytoma",1
"medulloblastoma","pilocytic_astrocytoma",0
"normal","pilocytic_astrocytoma",0
"pilocytic_astrocytoma","pilocytic_astrocytoma",4
